date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kinsa_cases,hospitalization,n_visits,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,recovered,hospitalizedIncrease,deathIncrease,deathCumulative
2020-04-11,202015,CT,09,-2721.0,-917.0,1106.0,-2813.0,-3107.0,1272.0,1.3885522066136593,0.008527083268141564,0.005175276140161885,35.6,6234.0,11568.0,17802.0,0.0,0.0,0.0,0.0,329.0,494.0
2020-04-18,202016,CT,09,-2861.0,-1553.0,668.0,-2600.0,-3037.0,1255.0,0.5227978779035154,0.008949525925462339,0.004781264526411322,33.7,5299.0,10332.0,15631.0,0.0,0.0,0.0,0.0,592.0,1086.0
2020-04-25,202017,CT,09,-2467.0,-1206.0,1088.0,-2351.0,-2812.0,1198.0,0.4591078465592826,0.006148887567669055,0.0037785271049000585,22.5,7773.0,14367.0,22140.0,0.0,0.0,0.0,0.0,779.0,1865.0
2020-05-02,202018,CT,09,-2309.0,-1016.0,781.0,-2190.0,-2761.0,1120.0,0.2846530099344217,0.002018337140532589,0.0008256535501626959,,4182.0,18473.0,22655.0,0.0,0.0,8692.0,7758.0,571.0,2436.0
2020-05-09,202019,CT,09,,,,,,,,,,,4220.0,19092.0,23312.0,0.0,0.0,33623.0,1631.0,496.0,2932.0
2020-03-07,202010,DE,10,281.0,103.0,462.0,126.0,84.0,-20.0,10.179162463010863,0.003567293550708764,0.002812682156586413,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,202011,DE,10,223.0,287.0,1212.0,80.0,6.0,7.0,10.072707504086658,0.003974090183684326,0.002734470113407463,,6.0,26.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,202012,DE,10,-491.0,121.0,939.0,-582.0,-633.0,268.0,8.932371062817365,0.0033326031855305557,0.002434903231042803,,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,202013,DE,10,-1124.0,-557.0,-225.0,-1193.0,-1069.0,461.0,5.881077583183342,0.002706762211722001,0.0019980963483830034,,169.0,0.0,169.0,0.0,0.0,22.0,31.0,5.0,5.0
2020-04-04,202014,DE,10,-1108.0,-593.0,-39.0,-1165.0,-1167.0,477.0,3.263028292958007,0.0035360015020183366,0.0018852053803982915,,379.0,5838.0,6217.0,0.0,0.0,280.0,79.5,9.0,14.0
2020-04-11,202015,DE,10,-1097.0,-572.0,328.0,-1181.0,-1265.0,497.0,1.3994649492803866,0.0036142316237444063,0.0017140243047613429,,886.0,4541.0,5274.0,0.0,0.0,971.0,150.25,19.0,33.0
2020-04-18,202016,DE,10,-1164.0,-656.0,-304.0,-1263.0,-1258.0,505.0,0.5734285265440615,0.003723753794160903,0.0015863763474975837,,844.0,2070.0,2914.0,0.0,0.0,2259.0,148.875,34.0,67.0
2020-04-25,202017,DE,10,-1009.0,-511.0,16.0,-1120.0,-1184.0,481.0,0.16684287000555673,0.0029101605282097816,0.0010632410775553572,,1253.0,2800.0,3784.0,0.0,0.0,4280.0,225.5625,45.0,112.0
2020-05-02,202018,DE,10,-933.0,-429.0,-67.0,-1027.0,-1154.0,435.0,0.21267318166148705,0.0003598585599399192,0.000157899785285806,,1462.0,3952.0,5414.0,0.0,0.0,8400.0,187.21875,56.0,168.0
2020-05-09,202019,DE,10,,,,,,,,,,,1239.0,4945.0,6184.0,0.0,0.0,14059.0,0.0,53.0,221.0
2020-03-07,202010,DC,11,35.0,10.0,17.0,21.0,12.0,-4.0,10.108403747085717,0.0016428325562474575,0.0019744851655365274,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,202011,DC,11,-22.0,46.0,51.0,-58.0,-37.0,14.0,10.003092412885712,0.0013924961667240356,0.002023183230157384,,10.0,41.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,202012,DC,11,-307.0,-62.0,-185.0,-380.0,-317.0,119.0,9.926419415657145,0.0014707262884501044,0.0018844675309343392,,67.0,457.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,202013,DC,11,-420.0,-193.0,-361.0,-495.0,-413.0,163.0,4.149565652171429,0.0019401070188065207,0.0016380258099742491,,227.0,1705.0,1932.0,0.0,0.0,121.0,0.0,4.0,4.0
2020-04-04,202014,DC,11,-428.0,-197.0,-395.0,-515.0,-436.0,171.0,1.5226144675428572,0.0019088149701160934,0.001643928605685868,,598.0,3325.0,3923.0,0.0,0.0,1049.0,0.0,17.0,21.0
2020-04-11,202015,DC,11,-449.0,-229.0,-425.0,-525.0,-448.0,177.0,0.9911716878285712,0.001830584848390024,0.0016107253798080116,,876.0,2725.0,3601.0,0.0,0.0,2490.0,0.0,26.0,47.0
2020-04-18,202016,DC,11,-460.0,-238.0,-441.0,-532.0,-446.0,178.0,0.0346018294,0.001689770629283099,0.0013797784975909215,,888.0,2341.0,3229.0,378.0,610.0,3781.0,313.0,44.0,91.0
2020-04-25,202017,DC,11,-451.0,-229.0,-415.0,-526.0,-441.0,175.0,0.0,0.0011421597772006133,0.0009887182816961683,,1033.0,3001.0,4034.0,624.0,825.0,4484.0,245.5,74.0,165.0
2020-05-02,202018,DC,11,-438.0,-211.0,-405.0,-522.0,-435.0,163.0,0.05465578759999999,0.0004067966329755608,0.0002154520434740904,,1098.0,3604.0,4702.0,69.0,120.0,4628.0,0.0,75.0,240.0
2020-05-09,202019,DC,11,,,,,,,,,,,1305.0,4874.0,6179.0,546.0,780.0,5336.0,0.0,71.0,311.0
2020-03-07,202010,FL,12,4320.0,3018.0,3547.0,2063.0,685.0,-144.0,4.565859291066818,0.09811621866883624,0.061439249164385486,,12.0,76.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,202011,FL,12,3638.0,5440.0,5460.0,1718.0,-56.0,129.0,5.885259466846772,0.09617611165002972,0.059618974536815014,,63.0,378.0,441.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-03-21,202012,FL,12,-5505.0,5823.0,1409.0,-4000.0,-8541.0,2527.0,8.194456628825776,0.09464280126419876,0.0518634388212117,,581.0,6101.0,6682.0,0.0,0.0,0.0,158.0,11.0,13.0
2020-03-28,202013,FL,12,-15564.0,-3647.0,-8665.0,-10801.0,-14470.0,4456.0,4.3155875457184445,0.09143536627342992,0.03977156180596035,,3105.0,28787.0,31892.0,0.0,0.0,0.0,368.0,41.0,54.0
2020-04-04,202014,FL,12,-16715.0,-4951.0,-12675.0,-12691.0,-16654.0,5002.0,1.7738608085388945,0.08778984260099508,0.03297301684510326,,7348.0,55590.0,62938.0,0.0,0.0,0.0,936.0,141.0,195.0
2020-04-11,202015,FL,12,-16335.0,-6898.0,-14283.0,-14191.0,-18709.0,5415.0,1.0116531620231044,0.07863691835904496,0.02785381726420176,,7383.0,63483.0,70866.0,0.0,0.0,0.0,1199.0,243.0,438.0
2020-04-18,202016,FL,12,-15056.0,-7926.0,-15807.0,-13985.0,-18072.0,5297.0,0.33056540673901097,0.06521262947085145,0.02392919596543913,,6775.0,66819.0,73594.0,0.0,0.0,0.0,1181.0,310.0,748.0
2020-04-25,202017,FL,12,-13479.0,-5915.0,-12959.0,-12973.0,-16988.0,5043.0,0.04261032802992416,0.040069468348092746,0.016557341971091058,,5570.0,81002.0,86572.0,0.0,0.0,0.0,1203.0,307.0,1055.0
2020-05-02,202018,FL,12,-11450.0,-3993.0,-8534.0,-11021.0,-15922.0,4292.0,0.029922050003462288,0.010295084019150727,0.003567502158209683,,4624.0,78289.0,82913.0,0.0,0.0,0.0,900.0,309.0,1364.0
2020-05-09,202019,FL,12,,,,,,,,,,,4538.0,107181.0,111719.0,0.0,0.0,0.0,1380.0,351.0,1715.0
2020-03-07,202010,GA,13,9909.0,4617.0,2035.0,1836.0,1202.0,-20.0,3.936863622287715,0.02630096692430453,0.02693076758479735,0.3,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,202011,GA,13,9555.0,13736.0,6655.0,1991.0,369.0,-97.0,5.763797496423342,0.026128860656507186,0.027260586295184058,1.6,60.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-21,202012,GA,13,-9149.0,12996.0,3272.0,-1014.0,-15240.0,3181.0,6.0005177608837545,0.0286322245517414,0.021267035099499003,5.2,441.0,2557.0,2998.0,0.0,0.0,0.0,0.0,19.0,20.0
2020-03-28,202013,GA,13,-26276.0,-3325.0,-677.0,-5364.0,-27565.0,4813.0,3.3361868742457927,0.03016553493757236,0.016136767776638212,8.1,1859.0,6128.0,7987.0,0.0,0.0,0.0,617.0,49.0,69.0
2020-04-04,202014,GA,13,-27667.0,-895.0,-2241.0,-7464.0,-33498.0,5222.0,1.3198751951561731,0.0297587383045968,0.013470917663378318,6.0,3794.0,11449.0,15243.0,0.0,0.0,0.0,622.0,132.0,201.0
2020-04-11,202015,GA,13,-19877.0,-5465.0,-1356.0,-8955.0,-39276.0,5730.0,0.6119412837687338,0.02700503801983916,0.012195913789668632,5.1,5999.0,19422.0,25421.0,0.0,0.0,0.0,1240.0,228.0,429.0
2020-04-18,202016,GA,13,-14434.0,-4865.0,-2533.0,-8448.0,-35034.0,5241.0,0.1560223013420857,0.02080921237913446,0.010804329700654472,3.0,5510.0,16983.0,22493.0,0.0,0.0,0.0,941.0,244.0,673.0
2020-04-25,202017,GA,13,-13056.0,-3856.0,-2739.0,-7722.0,-32901.0,5303.0,0.02218470139115569,0.013299120693431796,0.009088091847501272,0.8,5026.0,39780.0,44806.0,0.0,0.0,0.0,906.0,234.0,907.0
2020-05-02,202018,GA,13,-7319.0,-292.0,1634.0,-4862.0,-29642.0,4271.0,0.02416654941621852,0.003676815721125261,0.0017951877457961028,,5611.0,50175.0,55786.0,0.0,0.0,0.0,1061.0,270.0,1177.0
